2,100,6
2,500,226
2,1000,649
3,100,5
3,500,106
3,1000,485
4,100,6
4,500,90
4,1000,394
5,100,6
5,500,127
5,1000,364
8,100,9
8,500,98
8,1000,421
10,100,8
10,500,176
10,1000,547

